Partida Aduanera,Descripcion de la Partida Aduanera,Fecha,Qty,Und,U$ FAS Tot,U$ Flete & Seguro Tot,U$ CIF Tot,U$ FAS Und,U$ CIF Und,U$ (CIF + Imp) Und,Impuestos (%),Pais de Origen,Distrito de Descarga
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/01/2019,600.000,KG,24000.000,757.000,24757.000,40.000,41.261,41.261,0.000,HONDURAS,HOUSTON TEX.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/01/2019,1140.000,KG,23940.000,2269.000,26209.000,21.000,22.990,22.990,0.000,HONDURAS,SAVANNAH GA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/01/2019,3920.000,KG,65620.000,2500.000,68120.000,16.739,17.377,17.377,0.000,VIET NAM,LOS ANGELES CALIF.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/01/2019,44.000,KG,4468.000,184.000,4652.000,101.545,105.727,105.727,0.000,TURKEY,NEW YORK CITY N.Y.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/02/2019,4944.000,KG,52200.000,250.000,52450.000,10.558,10.608,10.608,0.000,MEXICO,SAN DIEGO CALIF.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/02/2019,17238.000,KG,182000.000,900.000,182900.000,10.558,10.610,10.610,0.000,MEXICO,HOUSTON TEX.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/02/2019,180.000,KG,5566.000,132.000,5698.000,30.922,31.655,31.655,0.000,JAPAN,LOS ANGELES CALIF.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/02/2019,4363.000,KG,46066.000,600.000,46666.000,10.558,10.695,10.695,0.000,CANADA,DETROIT MICH.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/02/2019,4020.000,KG,79515.000,8190.000,87705.000,19.779,21.817,21.817,0.000,HONDURAS,SAVANNAH GA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/02/2019,800.000,KG,11700.000,3682.000,15382.000,14.625,19.227,19.227,0.000,HONDURAS,HOUSTON TEX.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/02/2019,9850.000,KG,104000.000,362.000,104362.000,10.558,10.595,10.595,0.000,HONG KONG,LOS ANGELES CALIF.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/03/2019,447.000,KG,32850.000,5000.000,37850.000,73.489,84.675,84.675,0.000,MEXICO,LOS ANGELES CALIF.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/03/2019,191.000,KG,15637.000,763.000,16400.000,81.869,85.863,85.863,0.000,TURKEY,NEW YORK CITY N.Y.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/03/2019,1000.000,KG,78000.000,1258.000,79258.000,78.000,79.258,79.258,0.000,HONDURAS,HOUSTON TEX.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/03/2019,3060.000,KG,58140.000,6300.000,64440.000,19.000,21.058,21.058,0.000,HONDURAS,SAVANNAH GA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/03/2019,2000.000,KG,20000.000,8100.000,28100.000,10.000,14.050,14.050,0.000,HONDURAS,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/03/2019,500.000,KG,7000.000,2100.000,9100.000,14.000,18.200,18.200,0.000,HONDURAS,HOUSTON TEX.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/04/2019,625.000,KG,48750.000,793.000,49543.000,78.000,79.268,79.268,0.000,HONDURAS,HOUSTON TEX.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/04/2019,120.000,KG,3956.000,94.000,4050.000,32.966,33.750,33.750,0.000,JAPAN,SAN FRANCISCO CALIF.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/05/2019,600.000,KG,6000.000,2400.000,8400.000,10.000,14.000,14.000,0.000,HONDURAS,HOUSTON TEX.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/05/2019,520.000,KG,9076.000,1088.000,10164.000,17.453,19.546,19.546,0.000,INDONESIA,LOS ANGELES CALIF.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/05/2019,3102.000,KG,32753.000,1115.000,33868.000,10.558,10.918,10.918,0.000,TURKEY,NEW YORK CITY N.Y.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/05/2019,600.000,KG,14100.000,1232.000,15332.000,23.500,25.553,25.553,0.000,PERU,LOS ANGELES CALIF.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/06/2019,3126.000,KG,33000.000,1149.000,34149.000,10.556,10.924,10.924,0.000,TURKEY,NEW YORK CITY N.Y.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/06/2019,450.000,KG,2250.000,500.000,2750.000,5.000,6.111,6.111,0.000,DOMINICAN REPUBLIC,NEW YORK CITY N.Y.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/07/2019,195.000,KG,5474.000,420.000,5894.000,28.071,30.225,30.225,0.000,GREECE,NEW YORK CITY N.Y.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/07/2019,506.000,KG,2750.000,600.000,3350.000,5.434,6.620,6.620,0.000,DOMINICAN REPUBLIC,NEW YORK CITY N.Y.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/07/2019,2615.000,KG,27613.000,893.000,28506.000,10.559,10.900,10.900,0.000,TURKEY,NEW YORK CITY N.Y.
